,SEARCHVAL,X,Y,LATITUDE,LONGITUDE
0,183 BUKIT BATOK WEST AVENUE 8 SINGAPORE 650183,17990.5820074389,36495.6315976996,1.34632638068317,103.743377821414
1,89 REDHILL CLOSE SINGAPORE 150089,26382.2648390904,29762.4454015363,1.28543545058099,103.818782583669
2,93 HENDERSON ROAD SINGAPORE 150093,26564.3296063403,29927.0994191933,1.28692453254081,103.820418500703
3,1 HOLLAND CLOSE SINGAPORE 271001,23928.2995005092,32392.3745714985,1.30921937771543,103.796732386696
4,142 TAMPINES STREET 12 SINGAPORE 521142,40413.2831079168,36757.8757089935,1.34869712181619,103.944859621472
5,MULTI STOREY CAR PARK,15678.4784104871,35595.1582951434,1.33818197475994,103.722602542931
6,MOUNT FABER GREEN,26344.4773196429,29024.299931284,1.27875992006854,103.818443086311
7,210A BUKIT BATOK STREET 21 SINGAPORE 651210,18820.5756440144,36396.3163500633,1.34542847522459,103.750835847871
8,MARINE DRIVE VIEW,36249.0358221121,31745.7084521856,1.30337032890276,103.907439956881
9,107 COMMONWEALTH CRESCENT SINGAPORE 140107,24215.4126044605,32242.3280341234,1.30786244653945,103.799312254354
10,569A CHAMPIONS WAY SINGAPORE 731569,23147.9376994306,45761.1714896224,1.43012185425062,103.789718275111
11,25 SIN MING ROAD SINGAPORE 570025,28460.7386171762,37492.1099503916,1.3553398428091,103.837458614817
12,631 JURONG WEST STREET 65 SINGAPORE 640631,13189.9002099298,36160.8880378716,1.34329710152481,103.700240981582
13,5 LORONG 7 TOA PAYOH SINGAPORE 310005,30502.6631087596,35647.6992168222,1.33865954756919,103.855806480101
14,TOA PAYOH APEX,30492.8652413581,35102.1962963566,1.33372621378708,103.855718395843
15,TOA PAYOH BLOOM,29654.4746910082,35842.5708220024,1.34042195552491,103.848185018749
16,MARSILING GARDENS,21830.3822053112,47107.557964664,1.44229782292057,103.777878520479
17,COMPASSVALE CAPE,34970.9038622295,42257.7245029528,1.39843751923085,103.895957792826
18,PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH WEST-BALESTIER BLK 131 (DS),29105.3417615229,35570.5288735759,1.3379617298204,103.843250722733
19,PANGSHAN VALLEY,20442.2685905974,40948.0064491984,1.38659275915625,103.765406585364
20,TIONG BAHRU VIEW,27542.1660591997,29862.1129685044,1.28633684743341,103.829204757258
