POSTAL,LATITUDE,LONGITUDE
677790,1.372777423,103.7731735
126899,1.31268334,103.7557119
637792,1.296299213,103.62562
628468,1.326831109,103.6957784
618616,1.33584294,103.7217483
669738,1.360639248,103.7619755
599433,1.335281375,103.7700025
739664,1.41725849,103.7597017
597886,1.343616649,103.7713448
641208,1.346574753,103.7144271
640664,1.339517474,103.7031616
288633,1.334187901,103.8043885
267899,1.316318901,103.7984441
289050,1.334951144,103.8080098
598001,1.31817797,103.7754652
658280,1.368681112,103.7511967
639510,1.329144119,103.6524801
119166,1.280537498,103.7885341
267666,1.324925842,103.7953811
277616,1.328615256,103.7933112
589842,1.337482235,103.7880399
653451,1.352767327,103.7430111
598162,1.336373491,103.7660353
637911,1.337135951,103.6910533
638135,1.339102387,103.6914914
638281,1.337759123,103.6923894
143096,1.295996835,103.8128364
677637,1.391316875,103.754015
650179,1.345812286,103.7422102
688512,1.392230335,103.7516805
588727,1.336100365,103.7878488
268168,1.317225511,103.8046874
269305,1.321201674,103.7963011
278255,1.31070265,103.7971454
628607,1.327304782,103.7008777
117559,1.295467181,103.779774
658716,1.339228797,103.7614668
287894,1.3331669,103.7991417
639641,1.352632591,103.6875968
129098,1.321628938,103.7580997
668980,1.359173153,103.7607913
599115,1.334533917,103.7675874
627812,1.265808793,103.6786642
587989,1.33928134,103.7834421
269208,1.324354773,103.8029516
288950,1.330889012,103.8075715
627486,1.315627551,103.7013494
278508,1.309109828,103.7974291
652449,1.351978864,103.7410812
287853,1.332678392,103.799899
597173,1.324108777,103.767964
658388,1.369757144,103.7526312
658350,1.369713441,103.7515623
276763,1.330555504,103.791815
629196,1.313331357,103.6695364
129007,1.320429804,103.7557532
278263,1.310735331,103.7968866
669910,1.357541539,103.7602878
649815,1.344486159,103.7166959
266158,1.322482878,103.8041599
286996,1.336710523,103.8052516
678274,1.368766177,103.7770594
729500,1.408923546,103.7427838
288852,1.330853604,103.8001878
651536,1.355296457,103.7515401
589830,1.336563103,103.7869306
619094,1.318645133,103.7191758
268053,1.322894338,103.8104563
599624,1.342116075,103.7725908
588387,1.340886472,103.7795622
598003,1.338668382,103.7712569
598524,1.34324916,103.7674342
599315,1.333487282,103.7670492
266173,1.321970875,103.8027846
118163,1.280777201,103.7869797
658881,1.341425205,103.7599664
628588,1.324536906,103.6972415
677671,1.378616545,103.7626155
277692,1.311710802,103.7942804
279297,1.322179983,103.7867281
