index,Centre Name,Operating Hours,Address,postal_code,latitude,longitude
4,Fei Yue Active Ageing Centre (Bukit Batok),Mon - Fri: 9.30am - 6.00pm,"183 Bukit Batok West Ave 8, #01-101, 650183",650183,1.34632638068317,103.743377821414
2,Moral Active Ageing Centre @ Redhill,Mon - Fri: 9.00am - 5.00pm | Sat: 9.00am - 1.00pm,"89 Redhill Close, #01-448, 150089",150089,1.28543545058099,103.818782583669
1,THK AAC @ Bukit Merah View (Branch),Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm,"93 Henderson Road, #01-210, 150093",150093,1.28692453254081,103.820418500703
6,Fei Yue Active Ageing Centre (Holland Close),Mon - Fri: 9.30am - 6.00pm,"1 Holland Close, #02-115, 271001",271001,1.30921937771543,103.796732386696
9,Goodlife Studio (Tampines 142),Mon - Fri: 9.00am - 6.00pm,"142 Tampines Street 12, #01-310, 521142",521142,1.34869712181619,103.944859621472
3,THK AAC @ Taman Jurong,"Mon & Thu: 8.30am - 8.30pm | Tue, Wed & Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm","337 Tah Ching Road, #01-01, 610337",610337,1.33818197475994,103.722602542931
0,THK AAC @ Telok Blangah Cres - Branch,Mon - Fri: 8:30am - 5:30pm | Sat: 8:30am - 12:30pm | Sun and Public Holiday: Closed,"4 Telok Blangah Crescent, 090004",090004,1.27875992006854,103.818443086311
5,Fei Yue Active Ageing Centre (Bukit Batok extension),Mon - Fri: 9.30am - 6.00pm,"210A Bukit Batok Street 21, #01-294, 651210",651210,1.34542847522459,103.750835847871
8,Goodlife Studio (Katong),Mon - Fri: 10.30am - 5.00pm,"75 Marine Drive, #01-23, 440075",440075,1.30337032890276,103.907439956881
7,Fei Yue Active Ageing Centre (Commonwealth),Mon - Fri: 2.00pm - 6.00pm,"107 Commonwealth Crescent, #01-230, 140107",140107,1.30786244653945,103.799312254354
14,Care Corner Active Ageing Centre WL569A,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"569A Champions Way, #01-346, 731569",731569,1.43012185425062,103.789718275111
11,Allkin Active Ageing Centre @ Sin Ming 25,Mon - Fri: 9.00am - 6.00pm,"25 Sin Ming Road, #01-88, 570025",570025,1.3553398428091,103.837458614817
10,PCF Sparkle Care Active Ageing @ Boon Lay,Mon – Fri (excluding Public Holidays): 9.00am – 6.00pm,"631 Jurong West Street 65, #01-260, 640631",640631,1.34329710152481,103.700240981582
16,Care Corner Active Ageing Centre (TP5),Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"5 Lorong 7 Toa Payoh, #01-131, 310005",310005,1.33865954756919,103.855806480101
18,Care Corner Active Ageing Centre (Care) TP261A,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"261A Toa Payoh East (Apex), #01-03, 311261",311261,1.33372621378708,103.855718395843
17,Care Corner Active Ageing Centre TP106,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"106 Toa Payoh Lorong 1, #01-349, 310106",310106,1.34042195552491,103.848185018749
15,Care Corner Active Ageing Centre WL16,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"16 Marsiling Lane, #01-195, 730016",730016,1.44229782292057,103.777878520479
12,BCARE AAC @ Compassvale,Mon-Fri: 9.00am - 5.00pm | Sat: 8.30am - 12.30 pm | Closed on Sunday & PH,"287A COMPASSVALE CRESCENT, #01-151, 541287",541287,1.39843751923085,103.895957792826
19,Care Corner Active Ageing Centre (Care) TP131,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"131 Lor 1 Toa Payoh, Toa Payoh Crest, #01-01, 310131",310131,1.3379617298204,103.843250722733
13,New Life Community Services Active Ageing Centre (Care) @Jelapang,Mon - Fri: 9.00am – 5.00pm,"525 Jelapang Road, #01-123, 670525",670525,1.38659275915625,103.765406585364
24,Goodlife Studio (Tiong Bahru),Mon - Fri: 9.00am to 6.00pm,"10B BOON TIONG ROAD, #01-539, 164010",164010,1.28633684743341,103.829204757258
21,Goodlife Studio (Bedok),Mon - Fri: 9.00am - 6.00pm,"613B Bedok Reservoir Road, #01-1376, 472613",472613,1.3327873115852,103.918222316133
26,St Andrew's Active Ageing Centre (Yishun) - Branch,Mon - Fri: 9.00am – 5.00pm,"398 Yishun Ring Road, #01-1725, 760398",760398,1.42767563138391,103.846523499407
20,Vanguard AAC Senja @ 3G Wellness Centre,Mon - Fri: 8.30am – 6.00pm,"101 Bukit Panjang Road, Senja-cashew Community Club, 679910",679910,1.3816381331934,103.764676250968
27,Adventist Active Centre @ Kallang Trivista,"Mon - Fri: 8.30am - 6.00pm | Closed on Sat, Sun & Public Holiday","8 UPPER BOON KENG ROAD, #01-02, 380008",380008,1.31270729475511,103.870690585664
25,Goodlife Studio (Bukit Purmei),Mon - Fri: 9.00am - 6.00pm,"108 Bukit Purmei Road, #01-105, 090108",090108,1.2733573140352,103.825345821846
28,Goodlife Studio (Marine Parade),Mon - Fri: 9.00am - 6.00pm,"15 Marine Terrace, #01-18, 440015",440015,1.30484546888462,103.914257399726
29,Goodlife Studio (Yishun),Mon - Fri: 9.00am - 6.00pm,"838 Yishun Street 81, #01-322, 760838",760838,1.41642178701227,103.833559766776
22,Goodlife Studio (Bedok Reservoir 609A),Mon - Fri: 9.00am - 5.30pm,"609A Bedok Reservoir Road, #01-1700, 471609",471609,1.33182858762708,103.91189196562
23,Goodlife Studio (Telok Blangah Towers),Mon - Fri: 9.00am - 6.00pm,"80B Telok Blangah Street 31, #01-115, 102080",102080,1.27347684062073,103.806810311765
34,SASCO@Compassvale,Mon - Fri: 8.30am - 5.30pm,"274B Compassvale Bow, Compassvale Helm, #01-521, 542274",542274,1.38192277086883,103.890875719274
31,TOUCHpoint@Geylang Bahru - Branch,Mon - Fri: 8.00am – 5.00pm,"62 Geylang Bahru, #01-3365, 330062",330062,1.32181258135723,103.868465951996
36,House of Joy Tampines GreenWeave,Mon - Fri: 9.00am - 5.00pm | Sat: 9:30am - 12:30pm (Volunteer Befriending Programme),"610 TAMPINES NORTH DRIVE 1, #01-01, 520610",520610,1.36463646143194,103.937173937407
30,Lions Befrienders AAC @Clementi 367/366 - Branch,Mon - Fri: 9.00am – 6.00pm,"367 Clementi Avenue 2, #01-525, 120367",120367,1.31294067164982,103.77164865498
37,House of Joy Mountbatten,Mon - Fri: 9.00am - 5.00pm | Sat: 9:30am - 12:30pm (Volunteer Befriending Programme),"12 PINE CLOSE, #01-85, 391012",391012,1.30847854465222,103.882287785645
38,PCS Cedar Tree AAC @Toh Yi 21,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm – 1.00pm),"21 Toh Yi Drive, #02-601, 590021",590021,1.33813199271195,103.771986319841
35,THK AAC @ MacPherson - Branch,Mon - Fri: 8:30am - 5:30pm | Sat: 8:30am - 12:30pm | Sun and Public Holiday: Closed,"93 Paya Lebar Way, #01-3057, 370093",370093,1.32273476922747,103.888103196257
32,SASCO@Compassvale - Branch,Mon - Fri: 8.30am – 5.30pm,"274C Compassvale Bow, Compassvale Helm, #01-509, 543274",543274,1.3822866780118,103.891118468095
39,Goodlife Studio (Yishun Riverwalk),Mon-Fri: 9.00am to 6.00pm,"333B Yishun Street 31, #01-183, 762333",762333,1.43193043415117,103.84530779885
33,4S Active Ageing Centre @ Eunos Crescent,Mon - Fri: 8.00am - 6.00pm | Sat: 9.00am - 1.00pm,"3 Eunos Crescent, #01-2585, 400003",400003,1.32067404184244,103.903231711917
44,PCS Cedar Tree AAC @Tampines West 827A,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm – 1.00pm),"827A Tampines Street 81, #02-350, 521827",521827,1.34981132942629,103.932607934056
41,PCS Cedar Tree AAC(Care) @Potong Pasir 108,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm to 1.00pm),"108 POTONG PASIR AVENUE 1, #01-488, 350108",350108,1.33472004322162,103.867928446438
46,NTUC Health Active Ageing Centre (Bukit Panjang),Mon - Fri: 9.00am - 6.00pm | Sat: Events only | Closed on Sunday & PH,"2 Bukit Panjang Ring Road, #02-06, 679947",679947,1.37759742308947,103.772491526747
40,Stroke Support Station Ltd @ Jurong Point,"Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday","1 JURONG WEST CENTRAL 2, #06-01, 648886",648886,1.3394520043632,103.706685012926
47,St Luke's ElderCare Active Ageing Centre (Care) @ Golden Years,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","831 HOUGANG CENTRAL, #01-502, 530831",530831,1.37131564445886,103.889932276881
48,Kwong Wai Shiu Care @ St George,Mon - Fri: 7.00am - 7.00pm,"25 St George’s Lane, 320025",320025,1.32227989942996,103.862088519793
49,HNF Wellness Club@Buangkok Active Ageing Centre (Care),Mon - Fri: 8.00am - 5.00pm,"999 Buangkok Crescent, 530999",530999,1.38456386449101,103.879946263431
42,PCS Cedar Tree AAC @Jalan Bukit Merah,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm – 1.00pm),"105 Jalan Bukit Merah, #02-1912, 160105",160105,1.28063239751755,103.824935469367
45,PCS Cedar Tree AAC @Strathmore 61,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm – 1.00 pm),"61 Strathmore Avenue, #01-02, 141061",141061,1.29399775007562,103.810979212124
43,PCS Cedar Tree AAC @ Upper Serangoon 364,Mon – Fri: 8.30am – 6.00pm | (Closed for lunch from 12.00pm – 1.00pm),"364 Upper Serangoon Road, #01-01, 530364",530364,1.37009516179177,103.897233510592
54,MWS Active Ageing Centre - GreenTops@Sims Place,Mon - Fri: 8.30am - 5.00pm,"63 Sims Place, #01-227, 380063",380063,1.31659507864197,103.879545641729
51,Brahm Centre @ Simei 227,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 5.00pm,"227 Simei Street 4, #01-50, 520227",520227,1.34202091226152,103.956240053971
56,St. Andrew's Active Ageing Centre (Bedok South),"Mon - Fri: 8.30am - 6.00pm | Closed on Sat, Sun & Public Holiday","152A BEDOK SOUTH ROAD, #02-01, 461152",461152,1.31767817684758,103.947397456277
50,Brahm Centre @ Simei 227 - Branch,Mon - Fri: 9.00am – 6.00pm,"148 SIMEI STREET 1, #01-121, 520148",520148,1.34626694058524,103.955964816441
57,St. Andrew's Active Ageing Centre (Bedok North),"Mon - Fri: 8.30am - 6.00pm | Closed on Sat, Sun & Public Holiday","223 BEDOK NORTH DRIVE, #04-01, 460223",460223,1.32466306448194,103.927574606795
58,NTUC Health Active Ageing Centre (Kampung Kembangan),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday,"102 Lengkong Tiga, #01-389, 410102",410102,1.32557930714658,103.91065754789
55,MWS Active Ageing Centre - Fernvale Rivergrove,Mon - Fri: 9.00am - 5.00pm,"473A Fernvale Street, #01-17, 791473",791473,1.39785974876811,103.881232764244
59,Chong Hua Tong Active Ageing Centre,Mon - Fri: 8.30am - 5.00pm,"47 Owen Road, #01-251, 210047",210047,1.31485014599542,103.85012101861
52,SNM AAC@ Race Course,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00 pm | Closed on Sun & Public Holiday,"394 RACE COURSE ROAD, 218649",218649,1.31519958849897,103.85737656638
53,Sunlove Active Ageing Centre @ Serangoon,Mon - Fri: 8.00am - 5.00pm,"468 Hougang Avenue 8, #01-1510, 530468",530468,1.37372775627824,103.897221529451
64,THK AAC @ Indus 79,Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm,"79 Indus Road, #01-451, 161079",161079,1.29107462413343,103.828690172458
69,St Andrew's Active Ageing Centre (Woodlands),Mon - Fri: 9.00am - 5.00pm,"572A Woodlands Ave 1, #01-800, 731572",731572,1.43086687491645,103.78955465026
61,Sunlove Active Ageing Centre @ Whampoa Dew,Mon - Fri: 8.00am - 5.00pm,"78 Lorong Limau, #01-79, 320078",320078,1.32487617789478,103.855541044499
66,St Andrew's Active Ageing Centre (Peace Connect @8),Mon - Fri: 9.00am - 5.00pm,"8 North Bridge Road, #01-4102, 190008",190008,1.30458622698687,103.864004033321
60,MWS Wesley Active Ageing Centre - Jalan Berseh,Mon - Fri: 9.00am - 5.00pm,"25 Jalan Berseh, #01-142, 200025",200025,1.30621516435429,103.858221510521
67,St Andrew's Active Ageing Centre (Peace Connect @5),Mon - Fri: 8.30am - 6.00pm,"5 Beach Road, #02-4943, 190005",190005,1.30434622893363,103.864815778098
68,St Andrew's Active Ageing Centre (Yishun),Mon - Fri: 9.00am - 5.00pm,"426A Yishun Ave 11, #01-74, 761426",761426,1.42308082717826,103.846419380158
65,NTUC Health Active Ageing Centre (Redhill),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday,"71 Redhill Road, #01-29, 150071",150071,1.28731902477682,103.817475615252
62,Lions Befrienders AAC @ Clementi 367/366,Mon - Fri: 9.00am - 6.00pm,"366 Clementi Avenue 2, #01-527, 120366",120366,1.31254953553443,103.771676380482
63,Lions Befrienders AAC @Bendemeer 32,Mon - Fri: 9.00am - 6.00pm,"32 Bendemeer Road, #01-799, 330032",330032,1.31981683292999,103.863375513331
74,Care Corner Active Ageing Centre TP170,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"170 Lorong 1 Toa Payoh, #01-1102, 310170",310170,1.33131927016888,103.842668711023
79,Lions Befrienders AAC @Clementi 420A,Mon - Fri: 9.00am - 6.00pm,"420A Clementi Ave 1, #02-03, 121420",121420,1.30979102116855,103.768657661297
71,St Andrew's Active Ageing Centre (Jurong West),Mon - Fri: 9.00am - 4.00pm,"499 Jurong West Street 41, #01-812, 640499",640499,1.34863856808836,103.725086725184
76,Care Corner Active Ageing Centre TP62B,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"62B Toa Payoh Lorong 4, #02-121, 312062",312062,1.33583993428388,103.851278326324
70,St Andrew's Active Ageing Centre (Tampines Changkat),Mon - Fri: 9.00am - 5.00pm,"117 Tampines Street 11, Golden Carnation, #01-516, 521117",521117,1.34523592464479,103.946197624506
77,Allkin Active Ageing Centre @ Punggol 677B,Mon - Fri: 9.00am - 6.00pm,"677B Punggol Drive, #01-774, 822677",822677,1.40536468278241,103.909508986941
78,Allkin Active Ageing Centre @ Punggol 206A,Mon - Fri: 9.00am - 6.00pm,"206A Punggol Place, #01-2030, 821206",821206,1.39922535957607,103.901496029963
75,Care Corner Active Ageing Centre TP149,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm,"149 Lor 1 Toa Payoh, #01-963, 310149",310149,1.33378491718625,103.84376074201
72,St Andrew's Active Ageing Centre (Havelock),Mon - Fri: 9.00am - 5.00pm,"51 Havelock Road, Havelock View, #01-25, 161051",161051,1.28994618456452,103.827679720482
73,NTUC Health Active Ageing Centre (Bukit Merah View),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday,"117 Bukit Merah View, #01-205, 151117",151117,1.28430105508162,103.821907213378
84,Allkin Active Ageing Centre @ Sengkang 139,Mon - Fri: 9.00am – 6.00pm,"139 Rivervale Street, #01-764, 540139",540139,1.38887019170638,103.904295614592
81,Goodlife Studio (Tampines 251),Mon - Fri: 9.00am - 6.00pm,"251 Tampines Street 21, #01-458, 520251",520251,1.35275541922653,103.948119177521
89,Allkin Active Ageing Centre @ Sin Ming 410,Mon - Fri: 9.00am - 6.00pm,"410 Sin Ming Ave, #01-119, 570410",570410,1.36282061651362,103.835492017392
86,Allkin Active Ageing Centre @ Ang Mo Kio 420,Mon - Fri: 9.00am - 6.00pm,"420 Ang Mo Kio Ave 10, #01-1143, 560420",560420,1.36499919016779,103.853111647739
80,NTUC Health Active Ageing Centre (Serangoon Central),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sunday & PH,"424 Serangoon Central, #01-324, 550424",550424,1.34814738936672,103.875590835007
87,Allkin Active Ageing Centre @ Ang Mo Kio 510,Mon - Fri: 9.00am - 6.00pm,"510 Ang Mo Kio Ave 8, #01-2556, 560510",560510,1.37340092645025,103.849073244454
88,Allkin Active Ageing Centre @ Pasir Ris 476A,Mon - Fri: 9.00am - 6.00pm,"476A Pasir Ris Drive 6, #01-618, 511476",511476,1.37487649158241,103.957791910218
85,Allkin Active Ageing Centre @ Ang Mo Kio 420 - Branch,Mon - Fri: 9.00am - 6.00pm,"469 Ang Mo Kio Ave 10, #01-940, 560469",560469,1.36452029379673,103.856631941425
82,Goodlife Studio (Tampines 235),Mon - Fri: 9.00am - 6.00pm,"235 Tampines Street 21, #01-509, 521235",521235,1.35549080919861,103.948259265817
83,FaithActs (Margaret Drive),"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","40 Margaret Drive, #01-07, 140040",140040,1.29645842578646,103.806207569922
94,Jalan Besar Active Ageing Centre,Mon - Fri: 9.00am - 5.00pm,"811 French Road, #01-112, 200811",200811,1.30775370097876,103.86129187084
91,Active Ageing Centre at Bukit Batok East,"Mon - Fri: 9.30am - 12.30pm, 2.00pm - 5.30pm","288D Bukit Batok Street 25, #01-40, 653288",653288,1.34580304817683,103.759260051639
99,NTUC Health Active Ageing Centre (Care) (Tampines),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday,"1 TAMPINES STREET 22, #01-02, 529367",529367,1.34965003102913,103.95141650923
96,NTUC Health Active Ageing Centre (Woodlands East),Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday,"691C Woodlands Drive 73, #01-43, 733691",733691,1.43981455081875,103.806041331649
